PrjName;RecordNo;AgentId;AgentUserName;PhoneNo;Language;LtCallDt;LtCallWd;LtCallST;CallDurS;CallDurM;LtQuestF;CallCnt;LtCallR;WaveNo;Priority;DialingMode;ResCompleted;IntLevel;ResTimeZone;CallNotes;RestrictionOverride;ResTimeSlot;LtCaseR;CyclePhoneNumber;ManualDialing;LANG;NAME;INT01;N1;N2_1;RegionA;R1;SCREE;T1;Q1;INT10;Q2;Q3_1;Q3_2;Q3_3;Q3_4;Q3_5;Q3_6;Q3_7;Q4;Q5;Q6;Q7M1;Q7M2;Q7M3;Q7M4;Q7M5;Q7M6;Q7M7;Q7M8;Q7M9;Q7M10;Q8M1;Q8M2;Q8M3;Q8M4;Q8M5;Q8M6;Q8M7;Q8M8;Q8M9;Q8M10;RAUS;BYE;VOLL;INT;SQ;F6;PR_CODE;REG;DISTR;SETTL;IMPOR;TEL1;TEL2;TEL3;LSURN;LNAME;TEL4;TEL5;LSURN2;LNAME2;TEL6;TEL7;LSURN3;LNAME3;TEL8;RESPONDENT;TEL9;NOTE;KORR;F7;QN1;QN2;QN3;QN4;QN5;F8;QN6;QN7;QN8;F11;CB
Nazwa Projektu;1160;47;Agent.03;141651086;1;20210806;6;17:11:00;1239;21;462;4;CO;4;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090336; ; ;74;101; ;117;4;8;3;8;10;9;9;1988;102;104;105;108;;;;;;;;;;;;;;;;;;; ;99;100;CO; ; ;664888; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;sit odio nascetur Etiam elementum, aptent dapibus ex venenatis. metus maximus sit in ornare aliquam. dapibus enim Praesent f;sit odio nascetur Etiam elementum, aptent dapibus ex venenatis. metus maximus sit in ornare aliquam. dapibus enim Prae;sit odio nascetur Etiam elementum, aptent dapibus ex venenatis. metus maximus sit in ornare aliquam. dapibus enim Prae; ; ; ; ; ; ; ; 
Nazwa Projektu;1167;53;Agent.06;72287895;1;20210729;5;10:46:00;1392;23;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090344; ; ;127;101; ;25;5;4;10;3;9;3;4;1992;103;102;108;102;101;;;;;;;;101;102;103;104;105;106;107;108;;; ;99;100;CO; ; ;806011; ; ; ; ;248388234; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1168;51;Agent.05;76668965;1;20210729;5;10:47:00;3408;57;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090346; ; ;220;101; ;20;1;6;5;5;10;10;0;1973;104;103;111;;;;;;;;;;103;104;105;106;107;;;;;; ;99;100;CO; ; ;915403; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1169;47;Agent.03;889126232;1;20210803;3;15:40:00;2083;35;462;6;CO;5;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090348; ; ;164;101; ;340;9;6;8;4;9;6;6;1964;103;104;108;102;101;114;;;;;;;;;;;;;;;;; ;99;100;CO; ; ;696026; ; ; ; ;761440991; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;in amet, quis neque orci sapien. per diam lacinia platea adipiscing a tincidunt suscipit in est. dui Fusce laoreet Cras Lore;in amet, quis neque orci sapien. per diam lacinia platea adipiscing a tincidunt suscipit in est. dui Fusce laoreet Cra;in amet, quis neque orci sapien. per diam lacinia platea adipiscing a tincidunt suscipit in est. dui Fusce laoreet Cra;in amet, quis neque orci sapien. per diam lacinia platea adipiscing a tincidunt suscipit in est. dui Fusce laoreet;Анкету начала (309576-Юр.Леон.(по зерновім) в 15.00; ; ; ; ; ;2,02E+11
Nazwa Projektu;1173;45;Agent.02;266395513;1;20210729;5;14:21:00;2069;34;461;2;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090385; ; ;76;101; ;23;5;3;4;3;7;9;1;1974;103;103;101;118;108;;;;;;;;103;104;105;106;107;;;;;; ;99;100;CO; ; ;698877; ; ; ; ;752282501;979706522; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1174;45;Agent.02;471559482;1;20210806;6;14:05:00;1967;33;462;7;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090389; ; ;79;101; ;455;2;4;9;6;7;5;9;1992;104;102;101;108;102;119;;;;;;;102;103;104;105;107;;;;;; ;99;100;CO; ; ;539118; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;laoreet sapien, eget, platea non quam. lorem. ullamcorper litora Etiam eu. elementum Vivamus vitae et condimentum id erat a; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1176;61;Agent.11;514937021;1;20210803;3;17:33:00;1998;33;462;8;CO;2;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090395; ; ;62;101; ;30;5;10;3;2;10;9;7;1969;103;102;108;;;;;;;;;;102;103;104;105;106;;;;;; ;99;100;CO; ; ;996009; ; ; ; ;373893572; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;penatibus dictumst. per Vivamus faucibus Aliquam ligula placerat. erat sit Cras Cras odio porttitor sed consectetur lobortis;penatibus dictumst. per Vivamus faucibus Aliquam ligula placerat. erat sit Cras Cras odio porttitor sed consectetur lo;penatibus dictumst. per Vivamus faucibus Aliquam ligula placerat. erat sit Cras Cras odio porttitor sed consectetur lo; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1177;45;Agent.02;655863219;1;20210729;5;10:53:00;2370;40;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090401; ; ;168;101; ;15;9;4;3;7;7;99;9;1960;104;104;108;101;105;102;;;;;;;103;104;105;106;107;108;;;;; ;99;100;CO; ; ;946472; ; ; ; ;294573368; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;gravida enim consequat malesuada in aliquet, malesuada non vestibulum molestie aliquet, egestas sollicitudin ornare consecte;gravida enim consequat malesuada in aliquet, malesuada non vestibulum molestie aliquet, egestas sollicitudin ornare co;gravida enim consequat malesuada in aliquet, malesuada non vestibulum molestie aliquet, egestas sollicitudin ornare co; ; ; ; ; ; ; ; 
Nazwa Projektu;1178;59;Agent.10;570663436;1;20210802;2;16:49:00;1729;29;462;8;CO;7;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090407; ; ;3;101; ;33;9;9;8;4;9;4;4;1990;104;104;102;101;108;112;117;105;116;;;;102;106;107;;;;;;;; ;99;100;CO; ; ;491730; ; ; ; ;642502488;504931149;680713834; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;penatibus mattis odio sollicitudin bibendum venenatis elit enim Orci felis. vel erat placerat. Fusce elit montes, Vivamus pe; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1183;59;Agent.10;436226864;1;20210730;6;16:27:00;1983;33;462;2;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090410; ; ;90;101; ;18;9;9;2;9;3;8;3;1973;102;104;105;108;101;;;;;;;;102;103;104;105;106;107;;;;; ;99;100;CO; ; ;511206; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;lectus, tortor dapibus, felis. turpis, orci tellus et pretium euismod Donec sit vehicula. tempus consectetur. Praesent ut eg; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1187;61;Agent.11;62818530;1;20210729;5;11:44:00;2200;37;461;3;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090422; ; ;52;101; ;500;5;8;9;7;9;9;5;1972;103;104;101;108;102;;;;;;;;103;106;107;;;;;;;; ;99;100;CO; ; ;395373; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1191;55;Agent.07;382565534;1;20210810;3;16:35:00;1519;25;462;6;CO;5;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090428; ; ;65;101; ;7;3;10;4;9;1;7;7;1956;102;101;999;;;;;;;;;;101;102;103;104;105;106;107;108;;; ;99;100;CO; ; ;619327; ; ; ; ;262799622; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum Vivamus;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum V;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum V; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1200;57;Agent.09;900808273;1;20210804;4;16:36:00;1604;27;462;8;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090435; ; ;86;101; ;34;10;8;3;6;3;10;9;1975;103;104;108;105;;;;;;;;;103;104;105;106;107;;;;;; ;99;100;CO; ; ;399592; ; ; ; ;926114855; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;per aliquet, mattis et non placerat. viverra in commodo turpis Fusce euismod vulputate libero vestibulum pretium consectetur;per aliquet, mattis et non placerat. viverra in commodo turpis Fusce euismod vulputate libero vestibulum pretium conse; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1202;61;Agent.11;815581844;1;20210729;5;12:21:00;1139;19;461;2;CO;2;0;0;1;0;0; ;0;0;CO;1;0;PL; ;LQ; ; ;32090445; ; ;111;101; ;636,5;1;9;7;5;8;10;10;1977;104;102;999;;;;;;;;;;101;102;104;107;;;;;;; ;99;100;CO; ; ;212143; ; ; ; ;316542874; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1203;55;Agent.07;289748384;1;20210730;6;09:16:00;1508;25;462;2;CO;2;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090451; ; ;100;101; ;180,01;9;5;3;9;9;5;7;1963;103;103;108;;;;;;;;;;103;106;;;;;;;;; ;99;100;CO; ; ;263628; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;venenatis est sollicitudin sollicitudin nibh tincidunt. vitae id, Pellentesque vel, dis elit. Lorem Mauris magnis justo vulp; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1218;55;Agent.07;299736315;1;20210804;4;11:44:00;372;6;462;7;CO;4;0;0;1;0;0; ;0;0;CO;1;0;PL; ;LQ; ; ;32090454; ; ;49;101; ;41;9;0;7;9;7;4;8;1995;104;102;111;;;;;;;;;;101;102;103;104;105;107;;;;; ;99;100;CO; ; ;562696; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;sed eu libero sapien mi aliquet ornare Praesent nibh, per porttitor erat nec inceptos nascetur Suspendisse Fusce Class Proin;sed eu libero sapien mi aliquet ornare Praesent nibh, per porttitor erat nec inceptos nascetur Suspendisse Fusce Class; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1221;57;Agent.09;351215951;1;20210729;5;14:00:00;1474;25;461;2;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090459; ; ;64;101; ;18;5;9;8;3;7;10;7;1987;103;103;999;;;;;;;;;;101;102;103;105;106;107;;;;; ;99;100;CO; ; ;905155; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;varius Lorem lectus, dui. magnis ipsum, Integer ornare quam conubia natoque Sed aliquam. gravida lacinia porta mauris dapibu; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1223;114;Agent.13;601463545;1;20210729;5;11:17:00;2562;43;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090461; ; ;172;101; ;250;6;8;5;4;1;4;3;1970;103;104;119;108;101;111;;;;;;;103;104;105;106;107;;;;;; ;99;100;CO; ; ;800639; ; ; ; ;424762361; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1230;57;Agent.09;668385140;1;20210729;5;14:25:00;804;13;461;4;CO;3;0;0;1;0;0; ;0;0;CO;1;0;PL; ;LQ; ; ;32090468; ; ;85;101; ;21;9;6;5;6;3;4;9;1984;104;103;111;101;108;;;;;;;;;;;;;;;;;; ;99;100;CO; ; ;670948; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1233;55;Agent.07;812513119;1;20210730;6;10:09:00;1822;30;462;2;CO;2;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090471; ; ;157;101; ;534;6;4;0;7;6;10;10;1973;103;104;999;;;;;;;;;;102;103;104;105;106;107;;;;; ;99;100;CO; ; ;648129; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;litora Fusce tincidunt scelerisque non nibh, Phasellus litora id leo nec elementum, lobortis. felis. ad malesuada adipiscing; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1234;57;Agent.09;383567648;1;20210730;6;17:28:00;2012;34;462;3;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090474; ; ;70;101; ;120;9;7;9;7;4;9;9;1973;102;102;108;101;118;116;105;103;;;;;102;103;104;105;106;107;;;;; ;99;100;CO; ; ;904730; ; ; ; ;707448548; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;egestas non Praesent sem amet tincidunt placerat. pretium varius aliquet, interdum mus. mattis a quam felis. quam Class vel,; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1236;55;Agent.07;874527360;1;20210729;5;14:59:00;1585;26;461;2;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090478; ; ;83;101; ;100;10;10;9;8;10;3;9;1967;104;104;999;;;;;;;;;;101;102;103;104;106;107;;;;; ;99;100;CO; ; ;411416; ; ; ; ;454627584; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;porta mus. facilisis amet Praesent nascetur adipiscing finibus vel lorem. et Cras taciti condimentum erat ante. Praesent mal;porta mus. facilisis amet Praesent nascetur adipiscing finibus vel lorem. et Cras taciti condimentum erat ante. Praese; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1241;53;Agent.06;685336831;1;20210730;6;10:33:00;1635;27;462;2;CO;2;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090481; ; ;146;101; ;135;3;7;3;1;3;6;3;1972;104;104;103;106;108;105;102;;;;;;101;102;104;106;107;108;;;;; ;99;100;CO; ; ;484846; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;vel dis dictum velit maximus luctus. facilisis cursus dolor est. felis, nec et Fusce malesuada Mauris erat vel, a elit. port;vel dis dictum velit maximus luctus. facilisis cursus dolor est. felis, nec et Fusce malesuada Mauris erat; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1242;57;Agent.09;914877787;1;20210806;6;10:31:00;1676;28;462;6;CO;4;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090486; ; ;85;101; ;448;10;5;9;4;8;9;10;1945;103;104;108;101;;;;;;;;;;;;;;;;;;; ;99;100;CO; ; ;399718; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;posuere. adipiscing ut. inceptos sed lacinia turpis turpis amet euismod Nullam est. Vivamus Fusce pretium dapibus, viverra d;posuere. adipiscing ut. inceptos sed lacinia turpis turpis amet euismod Nullam est. Vivamus Fusce pretium dapibus, viv; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1251;47;Agent.03;398594672;1;20210803;3;15:14:00;1416;24;462;7;CO;6;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090488; ; ;65;101; ;1280;2;9;6;4;6;2;10;1979;104;103;101;108;102;;;;;;;;101;102;103;104;105;106;107;108;;; ;99;100;CO; ; ;453030; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;torquent sociosqu blandit Mauris id Fusce platea leo aptent venenatis sagittis. sed amet, sed orci. mus. neque convallis tor;torquent sociosqu blandit Mauris id Fusce platea leo aptent venenatis sagittis. sed amet, sed orci. mus. neque convall;torquent sociosqu blandit Mauris id Fusce platea leo aptent venenatis sagittis. sed amet, sed orci. mus. neque convall; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1253;53;Agent.06;433857924;1;20210730;6;11:47:00;591;10;462;3;CO;3;0;0;1;0;0; ;0;0;CO;1;0;PL; ;LQ; ; ;32090493; ; ;111;101; ;5;10;9;8;6;2;10;3;1998;103;102;119;114;101;102;113;108;112;105;117;;101;102;103;106;;;;;;; ;99;100;CO; ; ;282385; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;viverra et Cras condimentum. odio lacinia metus, scelerisque. maximus malesuada ornare lorem. vulputate lacinia sagittis. du; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1256;59;Agent.10;834590144;1;20210803;3;16:13:00;1578;26;462;17;CO;10;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090506; ; ;19;101; ;150,01;10;4;1;7;2;8;9;1999;104;101;108;107;102;113;118;112;106;;;;103;104;105;106;107;;;;;; ;99;100;CO; ; ;849998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1261;59;Agent.10;271217641;1;20210802;2;15:12:00;1711;29;462;3;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090515; ; ;84;101; ;50;9;9;2;4;9;9;4;1960;103;104;999;;;;;;;;;;101;105;106;108;;;;;;; ;99;100;CO; ; ;387471; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;justo sed ex sed euismod nec In volutpat, et In non vulputate, ipsum odio dis lorem. sit ac lectus, nibh a ut. eu a justo Fu; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1271;45;Agent.02;456587056;1;20210802;2;10:16:00;1622;27;462;2;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090525; ; ;57;101; ;10;6;4;7;7;6;6;9;1972;104;105;999;;;;;;;;;;103;104;105;106;107;;;;;; ;99;100;CO; ; ;580076; ; ; ; ;558921447; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1272;53;Agent.06;123414216;1;20210729;5;11:49:00;1991;33;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090532; ; ;124;101; ;40;2;9;6;5;9;9;7;1979;102;103;108;101;112;;;;;;;;102;103;104;105;106;107;;;;; ;99;100;CO; ; ;993297; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1279;45;Agent.02;753307742;1;20210804;4;14:22:00;1377;23;462;6;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090542; ; ;56;101; ;700,1;5;10;6;3;5;3;4;1986;104;104;999;;;;;;;;;;105;;;;;;;;;; ;99;100;CO; ; ;842375; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;eget in luctus, leo Vivamus aptent et orci metus vulputate consectetur. sodales at consectetur Lorem himenaeos. leo massa. i; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1280;55;Agent.07;731004338;1;20210729;5;11:57:00;1187;20;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090559; ; ;72;101; ;68;7;2;10;6;9;10;3;1975;104;103;101;108;117;;;;;;;;101;103;105;;;;;;;; ;99;100;CO; ; ;316904; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
